B500SP,C45E,13,6,9
C45E,B500SP,10,9,6
B500SP,ATLASIII,3,6,33
ATLASIII,35HGS,1,33,34
35HGS,ATLASIII,1,34,33
ATLASIII,C45E,2,33,9
C45E,S355J2,5,9,2
S355J2,S550W,2,2,17
S550W,B500SP,18,17,6
B500SP,27MnCrB5-2,1,6,35
27MnCrB5-2,B26,1,35,36
B26,B30,1,36,37
B30,C35R,1,37,38
C35R,B500B,1,38,22
B500SP,STRETCH500,30,6,39
STRETCH500,C40E,1,39,8
C45RC,S355J2,2,10,2
S355J2,STRETCH500,7,2,39
STRETCH500,23GHNMA-V,1,39,40
23GHNMA-V,STRETCH500,1,40,39
STRETCH500,S355J2,5,39,2
S355J2,C35E,2,2,41
C35E,C35R,4,41,38
C35R,STRETCH500,1,38,39
STRETCH500,B500SP,32,39,6
S235JR,S235JR/S275JR,40,11,1
C15R,S235JR,3,5,11
S355J2,C45,2,2,42
C45,C45E,9,42,9
S235JR/S275JR,P235GH,8,1,12
P235GH,S235JR,1,12,11
S235JR,30MnB4,5,11,15
30MnB4,16MnCr5,1,15,13
16MnCrS5,16MnCrS5+HH+FP,1,14,43
16MnCrS5+HH+FP,16MnCr5,1,43,13
16MnCr5,S235JR,2,13,11
S235JR,St52.3,2,11,3
S355J2,20Mn5,6,2,44
30MnB4,C35R,2,15,38
C35R,S235JR,1,38,11
S235JR/S275JR,1018,10,1,27
1018,C20C,1,27,20
C20C,19MnB4,1,20,28
23MnB4,S235JR,1,29,11
P235GH,C7D,1,12,21
C7D,S235JR/S275JR,3,21,1
B500SP,1006,7,6,23
C4D,S235JR,5,26,11
S235JR,42CrMo4,2,11,45
42CrMo4,42CrMo4+N,1,45,46
42CrMo4+N,42CrMo4,1,46,45
42CrMo4,S235JR,1,45,11
S235JR,S550W,10,11,17
S550W,S235JR,9,17,11
P235GH,S235JR/S275JR,6,12,1
32CrB4,S235JR,3,32,11
S235JR,32CrB4,3,11,32
C9D,S235JR/S275JR,1,31,1
S235JR/S275JR,C45,1,1,42
C45E,C45R,10,9,47
C45R,C45E,10,47,9
C45RC,S235J2+N,1,10,30
S235J2+N,S235JR/S275JR,7,30,1
S235JR/S275JR,S235JR,39,1,11
S235JR/S275JR,S480W,6,1,18
S480W,S550W,8,18,17
S550W,S235JR/S275JR,3,17,1
S235JR/S275JR,C45E,3,1,9
S235JR/S275JR,NV A,4,1,48
NV A,B500SP,1,48,6
STRETCH500,30MnB4,2,39,15
B500SP,S235JR,60,6,11
B500SP,B500B,44,6,22
B500B,41Cr4,1,22,49
41Cr4,B500B,1,49,22
35MnB4Ti,B500SP,6,50,6
B500B,B500SP,45,22,6
B500SP,S480W,35,6,18
S480W,B500SP,42,18,6
